source_id,pdf,title,am_scope,recommended_model_use,registered_target_count,saved_figure_count,fatigue_page_count,sn_page_count,figure_page_count,table_page_count,candidate_pages,review_action,priority,notes
NEW02,NEW02_watring2019.pdf,Mechanisms driving high-cycle fatigue life of as-built Inconel 718 processed by laser powder bed fusion,AM primary,partial,1,0,11,11,8,4,1;2;3;4;5;6;7;8;9;10;11,complete_registered_figure_snips_and_metadata,high,"LPBF IN718 high-cycle fatigue baseline; as-built/fatigue mechanism evidence, not a heat-treatment route training row."
NEW03,NEW03_kim2020.pdf,Room and elevated temperature fatigue crack propagation behavior of Inconel 718 alloy fabricated by laser powder bed fusion,AM primary,partial,1,0,10,0,8,3,1;2;3;4;5;6;7;8;9;10,complete_registered_figure_snips_and_metadata,high,LPBF IN718 fatigue crack-growth evidence at room/elevated temperature; useful fatigue-risk context.
NEW05,NEW05_witkin2020.pdf,Influence of surface conditions and specimen orientation on high cycle fatigue properties of Inconel 718 prepared by laser powder bed fusion,AM primary,partial,1,0,12,11,10,8,1;2;3;4;5;6;7;8;9;10;11;12,complete_registered_figure_snips_and_metadata,high,LPBF IN718 fatigue evidence for surface condition and specimen orientation; use as fatigue modifier support.
NEW08,NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.pdf,Laser powder bed fused Inconel 718 in stress-relieved and solution heat-treated conditions,AM primary,yes,0,0,4,1,12,9,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,inspect_unregistered_sn_pages,high,LPBF IN718 stress-relieved and solution-treated conditions; core heat-treatment and mechanical-property evidence.
NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,Heat treatment for selective laser melting of Inconel 718 alloy with simultaneously enhanced tensile strength and fatigue resistance,AM primary,yes,1,0,8,4,10,4,1;2;3;4;5;6;7;8;9;10;11;12,complete_registered_figure_snips_and_metadata,high,SLM IN718 heat treatment with tensile and fatigue improvement evidence; priority expert-system source.
NEW11,NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.pdf,The microstructure and fatigue performance of Inconel 718 produced by laser-based powder bed fusion and post heat treatment,AM primary,yes,1,0,10,5,10,6,1;2;3;4;5;6;7;8;9;10;11;12,complete_registered_figure_snips_and_metadata,high,Laser PBF IN718 post-heat-treatment microstructure and fatigue-performance evidence; priority source.
NEW13,NEW13_caiazzo2020.pdf,On the relevance of volumetric energy density in the investigation of Inconel 718 laser powder bed fusion,AM process background,background_or_partial,0,0,5,1,6,7,2;3;4;5;6;7;8;9;10;11,inspect_unregistered_sn_pages,high,LPBF IN718 volumetric-energy-density and hardness/process evidence; use as process-window background.
NEW15,NEW15_coatings_13_00189.pdf,Effects of process parameters and heat treatment on microstructure and mechanical characteristics of LPBF Inconel 718,AM primary,yes,0,0,10,4,7,2,1;2;3;4;5;6;7;8;9;10;11;12,inspect_unregistered_sn_pages,high,LPBF IN718 process-parameter plus heat-treatment source with mechanical/hardness evidence.
NEW16,NEW16_ssrn_4798171.pdf,Improved properties of additively prepared Inconel 718 alloy post-processed with a new heat treatment,AM preprint,partial,1,0,16,5,16,4,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;+6_more,complete_registered_figure_snips_and_metadata,high,Laser PBF IN718 new heat-treatment/preprint evidence; use with lower confidence until peer-reviewed version is confirmed.
NEW17,NEW17_MARINO_THESIS_2022.pdf,Effects of print parameters and heat treatment on fatigue of laser powder bed fused Inconel 718,AM thesis,partial,1,0,34,7,78,31,1;2;7;9;10;11;12;13;14;15;16;18;19;22;23;25;26;27;+90_more,complete_registered_figure_snips_and_metadata,high,"LPBF IN718 thesis covering print parameters, heat treatment, and fatigue; useful grey literature, keep confidence lower."
OA06,OA06_Influence_of_Heat_Treatment_on_High_Temperature_Performance_of_Inconel_718_Produced_via_LPBF.pdf,OA06_Influence_of_Heat_Treatment_on_High_Temperature_Performance_of_Inconel_718_Produced_via_LPBF,AM primary,yes,0,0,12,2,13,8,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,inspect_unregistered_sn_pages,high,LPBF IN718 heat treatment/high-temperature performance.
OA08,OA08_DiVA_Alloy_718_SLM_thesis.pdf,OA08_DiVA_Alloy_718_SLM_thesis,AM primary,yes,0,0,14,2,1,0,4;5;8;16;17;18;27;28;29;30;43;47;48;49;50,inspect_unregistered_sn_pages,high,Alloy 718 manufactured by AM selective laser melting.
OA12,OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract,AM industry/source,background_or_partial,0,0,11,1,19,8,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;+10_more,inspect_unregistered_sn_pages,high,"LUMEX additive/subtractive IN718 processing; useful background, weaker as peer-reviewed training data."
SRC001,01_ScienceDirect_S0142112319304967.pdf,01_ScienceDirect_S0142112319304967,AM primary,yes,1,1,12,11,10,8,1;2;3;4;5;6;7;8;9;10;11;12,verify_registered_figures_before_digitisation,high,LPBF IN718 fatigue; mentions wrought/cast/DED mostly as comparison/background.
SRC003,03_MDPI_metals-16-00057.pdf,03_MDPI_metals-16-00057,mixed AM/comparator,partial,1,1,17,8,18,7,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;+3_more,verify_registered_figures_before_digitisation,high,"Compares LPBF and forging/rolling IN718; keep LPBF rows only, exclude forging/rolling rows."
SRC004,04_Mackenzie_RafaelEringerCubi_thesis.pdf,04_Mackenzie_RafaelEringerCubi_thesis,AM primary,yes,0,0,34,8,8,0,7;8;9;10;11;12;15;16;17;20;22;25;27;28;29;30;31;32;+20_more,inspect_unregistered_sn_pages,high,SLM/AM IN718 thesis; usable after Portuguese extraction/curation.
SRC005,05_Wiley_ffe14163_SanchezCamargo2023.pdf,05_Wiley_ffe14163_SanchezCamargo2023,AM primary,yes,0,0,14,6,6,4,1;2;3;4;5;6;8;9;10;11;12;14;15;16,inspect_unregistered_sn_pages,high,LPBF IN718 defects/microstructure/fatigue durability; core source.
SRC006,06_AdditiveMfg_S2214860420308149.pdf,06_AdditiveMfg_S2214860420308149,AM primary,yes,1,1,12,3,12,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14,verify_registered_figures_before_digitisation,high,L-PBF IN718 post-processing/fatigue; mentions wrought/cast background.
SRC007,07_HAL_SP_Effect_on_brut_FA.pdf,07_HAL_SP_Effect_on_brut_FA,AM primary,yes,0,0,31,18,15,6,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;+19_more,inspect_unregistered_sn_pages,high,As-built IN718 manufactured by laser powder bed fusion; surface-treatment/fatigue.
SRC008,08_ResearchGate_annealing_Inconel718.pdf,08_ResearchGate_annealing_Inconel718,AM primary,yes,1,1,8,1,10,5,1;2;3;4;5;6;7;8;9;10;11;12;13,verify_registered_figures_before_digitisation,high,Selective laser melting IN718 annealing/mechanical/fatigue.
SRC009,09_ScienceDirect_S0142112325002269.pdf,09_ScienceDirect_S0142112325002269,AM primary,yes,3,3,16,11,13,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,verify_registered_figures_before_digitisation,high,LPBF IN718 fatigue paper.
SRC010,10_ScienceDirect_S0142112322005370.pdf,10_ScienceDirect_S0142112322005370,AM primary,yes,0,0,12,3,9,7,1;2;3;4;5;6;7;8;9;10;11;12;13,inspect_unregistered_sn_pages,high,LPBF/additively manufactured IN718 fatigue paper; comparators/background appear.
SRC011,11_ScienceDirect_S074964192400264X.pdf,11_ScienceDirect_S074964192400264X,AM primary,yes,2,1,17,13,11,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,complete_registered_figure_snips_and_metadata,high,LPBF IN718 plasticity/fatigue-related paper.
SRC012,12_ScienceDirect_S1044580323007453.pdf,12_ScienceDirect_S1044580323007453,AM primary,yes,1,1,9,8,6,4,1;2;3;4;5;6;7;8;9,verify_registered_figures_before_digitisation,high,L-PBF IN718 characterization/fatigue-related paper.
SRC013,13_SSRN_4475191.pdf,13_SSRN_4475191,AM primary,yes,0,0,30,17,13,6,1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;+17_more,inspect_unregistered_sn_pages,high,L-PBF/additively prepared IN718; text extraction noisy but source is AM.
SRC015,15_ScienceDirect_S0142112323001512.pdf,15_ScienceDirect_S0142112323001512,AM primary,yes,3,3,14,10,11,7,1;2;3;4;5;6;7;8;9;10;11;12;13;14,verify_registered_figures_before_digitisation,high,LPBF/SLM IN718 fatigue paper; mentions conventional forms for comparison/background.
NEW04,NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.pdf,Microstructural evolution and mechanical properties of Inconel 718 alloy manufactured by selective laser melting after solution and double ageing treatments,AM primary,yes,0,0,4,0,10,3,1;2;3;4;5;6;7;8;9;10;11;12,inspect_fatigue_pages_for_tables_or_figures,medium,SLM IN718 solution treatment and double ageing with microstructural and mechanical-property evidence.
NEW06,NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.pdf,"Effect of scan speed and laser power on the nature of defects, microstructures and microhardness of 3D-printed Inconel 718",AM primary,background_or_partial,0,0,4,0,11,7,1;2;3;4;5;6;7;8;9;10;11;12;13,inspect_fatigue_pages_for_tables_or_figures,medium,"SLM/3D printed IN718 process-parameter, defect, microstructure, and microhardness evidence; not direct HT route evidence."
NEW09,NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.pdf,Outstanding strength-ductility synergy in Inconel 718 superalloy via laser powder bed fusion and thermomechanical treatment,AM primary,partial,0,0,6,0,11,5,1;2;3;4;5;6;7;8;9;10;11;12;13;14,inspect_fatigue_pages_for_tables_or_figures,medium,LPBF IN718 thermomechanical treatment source; strong mechanical-property evidence but route differs from furnace-only heat treatment.
NEW12,NEW12_metals_11_00144_v3.pdf,Optimization of the post-process heat treatment of Inconel 718 superalloy fabricated by laser powder bed fusion process,AM primary,yes,0,0,12,0,18,8,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;+5_more,inspect_fatigue_pages_for_tables_or_figures,medium,LPBF IN718 post-process heat-treatment optimisation with tensile/hardness/texture evidence.
NEW14,NEW14_materials_13_02574_v2.pdf,Influence of homogenization and solution treatments time on microstructure and hardness of Inconel 718 fabricated by laser powder bed fusion,AM primary,yes,0,0,14,0,15,9,1;3;4;5;6;8;9;10;11;12;13;15;16;17;18;19;20;21;+2_more,inspect_fatigue_pages_for_tables_or_figures,medium,LPBF IN718 homogenisation and solution-treatment-time evidence focused on microstructure and hardness.
OA04,OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF,AM primary,yes,0,0,12,0,13,3,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,inspect_fatigue_pages_for_tables_or_figures,medium,LPBF IN718 heat treatment/elevated-temperature mechanical properties.
OA10,OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials,AM supplementary,yes,0,0,13,0,17,5,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;+2_more,inspect_fatigue_pages_for_tables_or_figures,medium,Supplementary material for IN718 LPBF strength tailoring; use if linked to main paper fields.
NEW01,NEW01_wang2015.pdf,Review on Powder-Bed Laser Additive Manufacturing of Inconel 718 Parts,AM review/background,background_only,0,0,6,0,6,1,1;2;3;4;5;6;7;8;9,background_check_only,low,"Powder-bed laser additive manufacturing review for Inconel 718; useful context, not condition-level heat-treatment evidence."
NEW07,NEW07_Simultaneous_consideration_of_relative_density_energy_consumption_and_build_time_for_selec.pdf,"Simultaneous consideration of relative density, energy consumption and build time for selective laser melted Inconel 718",AM process optimisation,background_only,0,0,6,2,9,9,1;2;3;4;5;6;7;8;9;10;11;12;14,background_check_only,low,SLM IN718 process-parameter/cost optimisation source; no direct heat-treatment or fatigue recommendation data.
SRC002,02_AerospaceMfg_improving-fatigue-life.pdf,02_AerospaceMfg_improving-fatigue-life,AM article,background_only,1,0,6,6,2,1,1;2;3;4;5;6,background_check_only,low,"AM components trade article; useful context, not a clean primary experimental dataset."
